# Collision classes of the loopy polynomial L_G.
# Read from 38 result file(s) in res10_1.  The L-, Lhat- and XB-classes coincide.
#
# Non-isomorphic connected simple graphs on n = 10 vertices with equal
# L_G.  In this range the classes of the refined loopy polynomial Lhat_G
# and of the Tutte symmetric function XB_G are identical.
#
# Format:  n  m  graph6 [graph6 ...]   (class size = number of graph6 fields)
#
# classes    : 1285
# by size    : 1281 of size 2, 4 of size 4
# graphs     : 2578
# pairs      : 1305
# edge range : 14..32
#
10 22 ICQbfDm^O ICQbfDx^_
10 22 ICQdbRF^g ICQdbRp^g
10 22 ICQdbZk^_ ICQdbZs^_
10 22 ICQeJQtvW ICQeJRX|W
10 22 ICQeNajnO ICQfDqN|O
10 22 ICQeQkv~? ICQfESv~?
10 22 ICQeQlVLw ICQfFFJLw
10 22 ICQeRimfo ICQeRreto
10 22 ICQeRpu}G ICQf@x]nG
10 22 ICQebj[\o ICQeeXuVo
10 22 ICQerZk{O ICQerjk{O
10 22 ICQerj[N_ ICpddpy|?
10 22 ICQf@pnto ICQf@rynO
10 22 ICQfBY{}_ ICQfBZY~?
10 22 ICQteXw^_ ICQuRhwmo
10 22 ICQuRZq}? ICQvAzi}?
10 22 ICQuRiw^_ ICQvCxw^_
10 22 ICQubRero ICRcrRUxo
10 22 ICQv@ri^O ICRcrPy|O
10 22 ICQv@rimg ICRcrPyyg
10 22 ICQv@ripw ICRcrPyFw
10 22 ICQvAxyJo ICQvAyyJo
