# Collision classes of the loopy polynomial L_G.
# Read from 124 result file(s) in res11.  The L-, Lhat- and XB-classes coincide.
#
# Non-isomorphic connected simple graphs on n = 11 vertices with equal
# L_G.  In this range the classes of the refined loopy polynomial Lhat_G
# and of the Tutte symmetric function XB_G are identical.
#
# Format:  n  m  graph6 [graph6 ...]   (class size = number of graph6 fields)
#
# classes    : 22499
# by size    : 22491 of size 2, 4 of size 3, 4 of size 4
# graphs     : 45010
# pairs      : 22527
# edge range : 13..42
#
11 19 J??CEB`^S|? J??CEB`v`z?
11 19 J??CFBBMuh_ J??CFBB]Km_
11 19 J??E@aJRtV? J??E@abRuV?
11 19 J??E@aKZnq? J??E@aK]^[?
11 19 J??E@eKwrT_ J??EDC[siu_
11 19 J??ED_mVR[? J??ED`MNbY?
11 19 J??EDb_NI]_ J??EDb_VP\_
11 19 J??EDb_mMM_ J??EDb_uTL_
11 19 J??F?yYu@M_ J??FCpYf@M_
11 19 J?AA@BS]dr_ J?AA@BSmRt_
11 19 J?AAD@YmQz? J?AAD@wfQv?
11 19 J?AADAp]S\_ J?AADApz?v_
11 19 J?AADAp]UX_ J?AADApzAr_
11 19 J?AADAsQqz_ J?AADAsQvp_
11 19 J?AADAsRYf_ J?AADAsyIf_
11 19 J?AADAsSqz_ J?AADAsSvp_
11 19 J?AADA{VQu? J?AADA{}Au?
11 19 J?AADB_U|x? J?AADB_uhz?
11 19 J?AADBoUtw_ J?AADBou`y_
11 19 J?AADJOo|r? J?AADbAw[z?
11 19 J?AADJOo}r? J?AADbAw]Z?
11 19 J?AADJOo~p? J?AADbAw]x?
11 19 J?AAD`KNRm? J?AAD`K[ry?
11 19 J?AAD`kNfQ? J?AAD`sip{?
11 19 J?AAD`wbtJ? J?AADbgFtJ?
11 19 J?AAD`wrTJ? J?AADbgVTJ?
11 19 J?AADbBrEZ? J?AADbHrEV?
11 19 J?AADbK}BY? J?AADbgVVW?
11 19 J?AAEIawdu_ J?AAEIawex_
11 19 J?AAEJ_wYv? J?AAEJ_w]u?
11 19 J?AAEJawp{? J?AAFBcwp{?
11 19 J?AB?qEegn_ J?AB?qQB{l_
11 19 J?AB?rCuIj_ J?AB?rOLmh_
11 19 J?AB?rc}Bi? J?AB?roZVg?
11 19 J?AB?vCsTV? J?`@ER_kbi_
11 19 J?AB?vQiQL_ J?ABCdMFPb_
11 19 J?AB?v_`}L? J?ABCeWB{j?
11 19 J?ABA`Ybfg_ J?ABA`YxC{_
11 19 J?ABA`Yefg_ J?ABA`Y{C{_
11 19 J?ABAagVBZ_ J?ABAagVEt_
11 19 J?ABAagVHZ_ J?ABAagVKt_
11 19 J?ABAagVJJ_ J?ABAagVMd_
11 19 J?ABAaipfS_ J?ABAaiqe[_
11 19 J?ABAaoZdy? J?ABAaojby?
11 19 J?ABAb_VBZ_ J?ABAb_VEt_
11 19 J?ABAcypSb_ J?AE@qdsci_
11 19 J?ABAeMlFQ? J?ABAfIlDY?
11 19 J?ABAeYpOj_ J?AEBaLwdI_
11 19 J?ABAec{CV_ J?ABAeolCV_
11 19 J?ABAec{Ey? J?ABAeolF[?
11 19 J?ABAfEm@L_ J?ABEETNAb_
11 19 J?ABApofLM? J?ABApojSl?
11 19 J?ABAqTbd[? J?ABAqThc{?
11 19 J?ABAqWd\J? J?ABCrOJ[j?
11 19 J?ABAqWd]J? J?ABCrOR[j?
11 19 J?ABAq[s`]? J?ABCpYt@]?
11 19 J?ABAqbhaM_ J?AE@rDwdI_
11 19 J?ABArBLdL? J?AE@qdtFD?
11 19 J?ABArPqfS? J?ABArPwes?
11 19 J?ABBbHyBJ? J?ABEbH{BJ?
11 19 J?ABBbWTcu? J?ABE`Y\?}?
11 19 J?ABBbWTeU? J?ABE`Y\A]?
11 19 J?ABBbWTeq? J?bB@_wYRY?
11 19 J?ABBb_TIZ_ J?ABBb_TJX_
11 19 J?ABBb_TK}? J?ABBb_TL{?
11 19 J?ABCdYfFo? J?ABCdYmDw?
11 19 J?ABCdhsaL_ J?AEB_NXaU_
11 19 J?ABCeMeUF? J?ABCeMsTF?
11 19 J?ABCeRrDE_ J?ABEEFmCe_
11 19 J?ABCfCT_~? J?ABEDcdfP_
11 19 J?ABCfCT`v? J?ABEDcddp_
11 19 J?ABCfCT`z? J?ABEDcdfp?
11 19 J?ABCfSNDe? J?ABED[lCm?
11 19 J?ABCjQ\?r_ J?ABEbSL_r_
11 19 J?ABCjQ\Fo? J?ABEbSLbw?
11 19 J?ABCppxFo? J?ABCppyFW?
11 19 J?ABEDcmMk? J?ABEDc{K{?
11 19 J?ABEJokaV? J?ABEbSkaV?
11 19 J?ABEJokbw? J?ABEbSkbw?
11 19 J?ABE`d]?{_ J?ABE`du?{_
11 19 J?ABE`d]Dk? J?ABE`duDk?
11 19 J?ABE`d{@{? J?ABE`d{C{?
11 19 J?ABEaYZEw? J?ABEaYZFW?
11 19 J?ABEbQ\?V_ J?ABF@sT_V_
11 19 J?ABEbQ\Dw? J?ABF@sTdw?
11 19 J?ABEb`uBJ? J?ABF@d]Eb?
11 19 J?ABF@[Mew? J?ABFA[Ubw?
11 19 J?ABeOsJeK_ J?ABeOsieK_
11 19 J?ACJBD}BL? J?AEBBE^@N?
11 19 J?AE@`hdTq_ J?AE@ahUTZ?
11 19 J?AE@ahEtZ? J?AE@ahSpu_
11 19 J?AE@ahTs\? J?AE@bIYsj?
11 19 J?AE@ahXs\? J?AE@bIYtJ?
11 19 J?AE@akasu_ J?AE@akcs]_
11 19 J?AE@bI]dh? J?AE@bI|@t?
11 19 J?AEBAdpRt? J?AEBAdpVs?
11 19 J?AEBApFq\? J?AEBAp}A\?
11 19 J?AEBApFql? J?AEBAp}Al?
11 19 J?AEBApT_^_ J?AEBApTfP_
11 19 J?AEBApovP_ J?AEBApwUT_
11 19 J?AEBAsgq^? J?AEBBD[dY_
11 19 J?AEBAsgq|? J?AEBBD[`y_
11 19 J?AEBAsgq}? J?AEBBD[dy?
11 19 J?AEBAwcp^? J?AEBBPZCy_
11 19 J?AEBBDNVc? J?AEBBDlRs?
11 19 J?AEBBo]cy? J?AEBBomQ{?
11 19 J?AEBIshaT_ J?BDA_fWtU?
11 19 J?AEB`el@u? J?AEB`elDq?
11 19 J?AEBakFeE_ J?AEBbBJc{?
11 19 J?AEBawL`u? J?AEBawLdq?
11 19 J?AEDFSY`Z? J?AEDFSY`i_
11 19 J?AEF@aXSz? J?AEF@aXUx?
11 19 J?B@`YwUba? J?`acgitDc?
11 19 J?B@`Z_ams? J?`DE_wSjw?
11 19 J?B@dHgUKf? J?B@dIWUJF?
11 19 J?B@dHgeaf? J?B@dIWYaf?
11 19 J?B@dPgcqj? J?B@dPgdQf?
11 19 J?B@dPgeay? J?B@dPgfAu?
11 19 J?B@lR_U?}? J?BDeOkMAh_
11 19 J?B@t`oRST? J?BDdPSNAU?
11 19 J?BD?oXpPm_ J?BD?pSFTL_
11 19 J?BD?o[ohj_ J?BD?pPhG|_
11 19 J?BD?osaij_ J?BD?pPahl_
11 19 J?BD?o{sbY? J?BD?ppjA{?
11 19 J?BD?pWkJT_ J?BD?poqHt_
11 19 J?BD?pXkb[? J?BD?psiay?
11 19 J?BD?pXx@{? J?BD?p[w`y?
11 19 J?BD?p`LRu? J?`@E_kQs}?
11 19 J?BD?qURaj? J?BDA_md`e_
11 19 J?BD@hWFbq? J?BD@hWFfa?
11 19 J?BD@j_s_v? J?BD@j_sau?
11 19 J?BD@jgUdg? J?`DB_]{DI?
11 19 J?BDA_fifE? J?BDAaFVEk?
11 19 J?BDA_qZCr_ J?BDA_qfBR_
11 19 J?BDA_uebP_ J?BDA`iLcp_
11 19 J?BDA_ycrH_ J?BDA`bMch_
11 19 J?BDA`MuBh? J?`D@RoscM_
11 19 J?BDA`iLSy? J?BDAaYLRY?
11 19 J?BDA`kLSt? J?BDA`kLcr?
11 19 J?BDA`kLcq_ J?BDAaYZ@j?
